marca,nome,subtitulo,categoria,quantidade,preco,beneficios,ingredientes,tipo_pele,imagem
beyoung,Sérum facial com Retinol + Niacinamida,Aging Care,sérum,30ml,129.90,"hidratação, limpeza, antissinais, uniformiza o tom, antioxidante, esfoliação, acalma, luminosidade, fortalece a barreira, proteção solar, fortalece os fios, compatível com maquiagem, resultados rápidos","ácido cítrico, ácido glicólico, ácido hialurônico, ácido linoleico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, esqualano, fenoxietanol, hipoalergênico, lecitina, lha, niacinamida, pantenol, propanodiol, retinol, vitamina c, vitamina e","oleosa, seca, normal, sensivel, madura, com flacidez, com manchas, radiante, todos os tipos",serum-facial-com-retinol-niacinamida.jpg
beyoung,Água Micelar Hidratante,Micellar Water,água micelar,200ml,44.86,"hidratação, limpeza, controle da oleosidade, antissinais, antioxidante, esfoliação, acalma, proteção solar, crescimento de cílios/sobrancelhas, compatível com maquiagem","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, esqualano, lha, niacinamida, pantenol, retinol, vitamina c, vitamina e","oleosa, seca, mista, normal, sensivel, madura, com manchas, radiante, todos os tipos",agua-micelar-hidratante.jpg
beyoung,Água Micelar Hidratante,Micellar Water,água micelar,200ml,44.86,"hidratação, limpeza, controle da oleosidade, antissinais, antioxidante, esfoliação, acalma, proteção solar, crescimento de cílios/sobrancelhas, compatível com maquiagem","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, esqualano, lha, niacinamida, pantenol, retinol, vitamina c, vitamina e","oleosa, seca, mista, normal, sensivel, madura, com manchas, radiante, todos os tipos",agua-micelar-hidratante-1.jpg
beyoung,Hidratante facial em gel com ácido hialurônico (pele refrescante),Hydra Gel,hidratante,30ml,52.72,"hidratação, limpeza, controle da oleosidade, antissinais, uniformiza o tom, antioxidante, acalma, luminosidade, fortalece a barreira, fortalece os fios, compatível com maquiagem","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, disodium edta, esqualano, glycerin, lha, niacinamida, pantenol, phenoxyethanol, retinol, vitamina c, vitamina e","oleosa, seca, normal, sensivel, madura, com flacidez, com manchas, radiante, todos os tipos",hidratante-facial-em-gel-com-acido-hialuronico-pele-refrescante.jpg
beyoung,Sérum Facial Booster Multifuncional 3 em 1,Sérum Multifuncional Antioxidante,sérum,30ml,69.90,"hidratação, limpeza, controle da oleosidade, antissinais, uniformiza o tom, antioxidante, acalma, luminosidade, fortalece a barreira, proteção solar, fortalece os fios, compatível com maquiagem","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, benzoato de sódio, cafeína, esqualano, fenoxietanol, lha, niacinamida, pantenol, peptídeo de cobre, retinol, vitamina c, vitamina e",oleosa,serum-facial-booster-multifuncional-3-em-1.jpg
beyoung,Sérum Facial Booster Multifuncional 3 em 1,Sérum Multifuncional Antioxidante,sérum,30ml,69.90,"hidratação, limpeza, controle da oleosidade, antissinais, uniformiza o tom, antioxidante, acalma, luminosidade, fortalece a barreira, proteção solar, fortalece os fios, compatível com maquiagem","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, benzoato de sódio, cafeína, esqualano, fenoxietanol, lha, niacinamida, pantenol, peptídeo de cobre, retinol, vitamina c, vitamina e",oleosa,serum-facial-booster-multifuncional-3-em-1-1.jpg
beyoung,Protetor solar matte FPS 30 com niacinamida (toque seco),Essential Oil Control FPS 30,controle de oleosidade (matificante),40g,45.42,"hidratação, controle da oleosidade, antiacne, antissinais, antioxidante, minimiza poros, fortalece a barreira, proteção solar, fortalece os fios, compatível com maquiagem","ácido cítrico, ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, álcool cetílico, alpha arbutin, alpha glucan, cafeína, esqualano, fenoxietanol, goma xantana, lha, niacinamida, pantenol, retinol, vitamina c, vitamina e","oleosa, seca, mista, normal, acneica, sensivel, madura, com manchas",protetor-solar-matte-fps-30-com-niacinamida-toque-seco.jpg
beyoung,Protetor solar matte FPS 30 com niacinamida (toque seco),Essential Oil Control FPS 30,controle de oleosidade (matificante),40g,45.42,"hidratação, controle da oleosidade, antiacne, antissinais, antioxidante, minimiza poros, fortalece a barreira, proteção solar, fortalece os fios, compatível com maquiagem","ácido cítrico, ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, álcool cetílico, alpha arbutin, alpha glucan, cafeína, esqualano, fenoxietanol, goma xantana, lha, niacinamida, pantenol, retinol, vitamina c, vitamina e","oleosa, seca, mista, normal, acneica, sensivel, madura, com manchas",protetor-solar-matte-fps-30-com-niacinamida-toque-seco-1.jpg
beyoung,ESFOLIANTE FACIAL SMART PEELING,Exfoliant Cleanser,peeling químico,90g,53.39,"hidratação, limpeza, controle da oleosidade, antiacne, antissinais, uniformiza o tom, esfoliação, acalma, luminosidade, proteção solar","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, esqualano, fenoxietanol, goma xantana, lha, niacinamida, pantenol, retinol, vitamina c, vitamina e","oleosa, seca, mista, normal, acneica, sensivel, madura, com manchas, radiante, todos os tipos",esfoliante-facial-smart-peeling.jpg
beyoung,Esponja para maquiagem 3 faces e 2 cortes (100% off),,,Único,0.00,,"ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, esqualano, lha, niacinamida, pantenol, retinol, vitamina c, vitamina e","oleosa, normal, madura, com manchas",esponja-para-maquiagem-3-faces-e-2-cortes-100-off.jpg
